olApt.Subject,olApt.Start,olApt.End,olApt.Location
Hannover Messe , 30.05.2022 , 03.06.2022 , Hannover
Wartung Bitterfeld , 09.05.2022 , 14.05.2022 , 
Townhall-Meeting RC-DE DI PA | S-VS-P  , 03.05.2022 11:00:00 , 03.05.2022 12:00:00 , Microsoft Teams-Besprechung
SchaltschrankGESTALTER Webinar: Arbeitssicherheit im Schaltschrankbau , 12.05.2022 14:00:00 , 12.05.2022 15:00:00 , 
SchaltschrankGESTALTER Webinar: Explosionsschutz im Steuerungs- und Schaltanlagenbau , 02.06.2022 14:00:00 , 02.06.2022 15:00:00 , 
SchaltschrankGESTALTER Webinar: Welche Farbe muss der Griff des Hauptschalters an einer Maschine haben? Schwarz/grau oder rot/gelb? , 30.06.2022 14:00:00 , 30.06.2022 15:00:00 , 
SchaltschrankGESTALTER Webinar: Der Weg zum papierlosen Schaltschrank am Beispiel der digitalen Schaltplantasche , 15.09.2022 14:00:00 , 15.09.2022 15:00:00 , 
SchaltschrankGESTALTER Webinar: Schaltschrankplanung als Basis ISO 50001 – Energieeffizienz, Energieeinsatz und Energieverbrauch , 29.09.2022 14:00:00 , 29.09.2022 15:00:00 , 
SchaltschrankGESTALTER Webinar: Schaltschrankbeschriftung – Peanuts? Wohl kaum! , 13.10.2022 14:00:00 , 13.10.2022 15:00:00 , 
Terminblocker - Power up! - Aktuelle Informationen der RC-DE DI Leitung , 29.07.2022 10:00:00 , 29.07.2022 11:30:00 , Webcast 
Global Virtual Roadshow - Main Stage , 10.05.2022 , 11.05.2022 , 
